,city_name,country,Latitude,Max Temperature,Humidity,Wind Speed (mph),Cloudiness %,Date
906,sibolga,id,1.74,66.85,100.0,1.9,92.0,2017-12-11
909,norrtalje,se,47.38,-25.81,35.0,2.91,12.0,2017-12-11
910,sorland,no,60.34,-17.12,73.0,5.37,64.0,2017-12-11
911,imeni poliny osipenko,ru,52.42,-2.09,71.0,8.16,88.0,2017-12-11
912,zhigansk,ru,66.77,-35.44,68.0,5.59,32.0,2017-12-11
915,nizwa,om,63.76,-34.04,63.0,3.02,36.0,2017-12-11
916,ngaoundere,cm,7.32,65.28,53.0,7.16,12.0,2017-12-11
920,toktogul,kg,41.87,-2.41,74.0,1.68,0.0,2017-12-11
921,suez,eg,29.97,45.39,80.0,2.68,36.0,2017-12-11
923,gigmoto,ph,36.98,41.0,60.0,6.93,0.0,2017-12-11
925,mbandaka,cd,4.96,78.8,74.0,5.7,0.0,2017-12-11
927,yangjiang,cn,13.51,77.0,17.0,3.36,0.0,2017-12-11
930,daltenganj,in,24.03,55.65,82.0,2.68,0.0,2017-12-11
932,leningradskiy,ru,69.38,8.8,95.0,25.61,56.0,2017-12-11
934,sistranda,no,41.65,26.6,92.0,2.24,0.0,2017-12-11
935,bellary,in,52.98,-35.98,64.0,2.46,0.0,2017-12-11
936,filingue,ne,14.35,62.31,34.0,7.38,0.0,2017-12-11
939,zhuhai,cn,22.28,66.2,68.0,11.41,0.0,2017-12-11
941,ginda,er,28.17,54.16,79.0,2.13,0.0,2017-12-11
944,nadvoitsy,ru,9.28,73.29,100.0,2.68,88.0,2017-12-11
946,maku,ir,51.32,28.96,90.0,10.18,92.0,2017-12-11
947,hof,no,59.53,28.4,86.0,13.87,75.0,2017-12-11
951,jian,cn,27.12,38.05,78.0,3.13,48.0,2017-12-11
953,eskasem,af,50.37,-9.92,74.0,2.24,64.0,2017-12-11
959,gilgit,pk,53.88,11.73,82.0,5.14,76.0,2017-12-11
962,paldiski,ee,51.84,32.79,94.0,10.18,92.0,2017-12-11
965,aktau,kz,43.65,37.4,86.0,8.95,0.0,2017-12-11
966,ko samui,th,48.68,9.61,87.0,3.36,68.0,2017-12-11
967,baoding,cn,38.85,6.96,71.0,2.57,0.0,2017-12-11
969,singapore,sg,1.29,78.8,94.0,9.4,75.0,2017-12-11
970,sawakin,sd,30.06,48.58,95.0,3.36,0.0,2017-12-11
972,shahr-e babak,ir,30.12,25.59,56.0,2.24,0.0,2017-12-11
973,makarov,ru,48.63,28.33,100.0,22.7,92.0,2017-12-11
976,poltavka,ru,54.37,13.44,88.0,3.91,76.0,2017-12-11
